"geographic_level","country_name","region_name","la_name","geo_breakdown"
"Local authority","England","London","Hackney","Hackney"
"Local authority","England","West Midlands","Telford and Wrekin","Telford and Wrekin"
"Local authority","England","South East","Kent","Kent"
"Local authority","England","Yorkshire and The Humber","East Riding of Yorkshire","East Riding of Yorkshire"
"Local authority","England","North West","Trafford","Trafford"
"Local authority","England","East Midlands","Nottingham","Nottingham"
"Local authority","England","London","Lambeth","Lambeth"
"Local authority","England","London","Harrow","Harrow"
"Local authority","England","South West","Cornwall","Cornwall"
"Local authority","England","London","Southwark","Southwark"
"Local authority","England","East of England","Cambridgeshire","Cambridgeshire"
"Local authority","England","North West","Oldham","Oldham"
"Local authority","England","West Midlands","Dudley","Dudley"
"Local authority","England","South West","Gloucestershire","Gloucestershire"
"Local authority","England","South East","Isle of Wight","Isle of Wight"
"Local authority","England","North West","Manchester","Manchester"
"Local authority","England","North East","Stockton-on-Tees","Stockton-on-Tees"
"Local authority","England","West Midlands","Worcestershire","Worcestershire"
"Local authority","England","North West","Stockport","Stockport"
"Local authority","England","West Midlands","Solihull","Solihull"
"Local authority","England","Yorkshire and The Humber","Bradford","Bradford"
"Local authority","England","London","Barnet","Barnet"
"Local authority","England","North West","Blackpool","Blackpool"
"Local authority","England","South East","West Sussex","West Sussex"
"Local authority","England","East of England","Central Bedfordshire","Central Bedfordshire"
"Regional","England","North East","","North East"
"Regional","England","South West","","South West"
"Regional","England","East of England","","East of England"
"Regional","England","West Midlands","","West Midlands"
"Regional","England","East Midlands","","East Midlands"
"Regional","England","North West","","North West"
"Regional","England","London","","London"
"Regional","England","South East","","South East"
"Regional","England","Yorkshire and The Humber","","Yorkshire and The Humber"
"National","England","","","National"
"Local authority","England","South West","Isles of Scilly","Isles of Scilly"
