time_period,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,education_phase,num_schools,enrolments,present_sessions,overall_attendance,approved_educational_activity,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_mobile_child,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_c1_authorised_regulated_performance,reason_j1_authorised_interview,reason_c2_authorised_temp_reduced_timetable,reason_b_aea_education_off_site,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_k_aea_education_arranged_by_la,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,total_num_schools,total_enrolments,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_mob_perc,auth_excluded_perc,auth_performance_perc,auth_interview_perc,auth_part_time_perc,auth_other_perc,pa_perc,time_identifier
202425,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000016,Barnsley,370,Primary,76.42553191,16902.55851,5717138,5780151,63013,313674,195798,117876,57738,6093825,2821211,2848083,5669294,47844,151938,15790,776,6,1762,0,1899,14309,296,13,9009,13910,0,7362,41332,0,409,57717,9894,49018,1247,76,20187,94.85259258,5.147407417,3.213055839,1.934351577,2.493310852,0.25911476,0.947139112,0.804388049,0.162361079,0.020463338,0.012734202,9.84603266421336e-05,0.028914516,0.031162693,0.004857376,0.000213331,0.14783818,0.234811469,12.32940357,Academic year
202425,Local authority,E92000001,England,E12000008,South East,E06000043,Brighton and Hove,846,Primary,48.4787234,14378.99468,4973607,5038818,65211,304542,238446,66096,68465,5343360,2433212,2480079,4913291,60316,176343,14640,3284,1,768,0,1619,30537,243,1685,9326,7213,2,13586,41834,2,2574,23904,8149,30475,3568,49,16984,94.30055246,5.699447539,4.462473051,1.236974488,3.300226824,0.273984908,0.447358965,0.570334022,0.152507037,0.066774464,0.061459456,1.87148161456462e-05,0.014372979,0.030299287,0.0045477,0.031534465,0.174534375,0.571494341,14.11152122,Academic year
202425,Local authority,E92000001,England,E12000002,North West,E08000010,Wigan,359,Primary,97.83510638,23282.29787,7757672,7832245,74573,426024,293375,132649,111518,8258269,3793479,3865014,7658493,99179,234935,21515,2276,24,1731,36,2903,23579,265,302,5809,12643,0,7810,52609,10,1501,61885,12339,54024,4401,99,26954,94.84124336,5.158756635,3.552499925,1.606256711,2.844845572,0.260526752,0.749370116,0.654180676,0.149413878,0.05329204,0.027560255,0.000290618,0.020960809,0.035152645,0.003208905,0.003656941,0.070341618,0.285519883,12.40516096,Academic year
202425,Local authority,E92000001,England,E12000002,North West,E08000008,Tameside,357,Primary,74.47340426,17420.75532,5847185,5881410,34225,301848,194986,106862,88849,6183258,2847944,2922058,5770002,77183,154349,15216,4482,10,100,0,3359,12326,366,495,4283,9689,1,1530,22857,2,146,39389,11666,52537,3270,76,19874,95.11830171,4.881698289,3.153450818,1.728247471,2.496240655,0.246083861,0.637026629,0.849665338,0.188670762,0.052884741,0.072486058,0.000161727,0.00161727,0.054324112,0.00591921,0.008005488,0.06926769,0.199344747,12.47507201,Academic year
202425,Local authority,E92000001,England,E12000001,North East,E06000002,Middlesbrough,806,Primary,40.63492063,11844.2381,4052569,4112431,59862,237007,142501,94506,85906,4349438,1955286,2019225,3974511,78058,113929,9143,7443,0,224,0,621,8210,62,586,2283,9078,0,11768,38543,1,472,35315,7848,49651,1692,41,15501,94.55085921,5.449140786,3.276308341,2.172832444,2.619395885,0.210211066,0.81194398,1.141549782,0.180437105,0.038901578,0.171125557,0,0.005150091,0.014277707,0.001425472,0.013473005,0.05248954,0.188760019,15.98783708,Academic year
202425,Local authority,E92000001,England,E12000001,North East,E06000047,County Durham,840,Primary,208.5132275,31934.05291,11098883,11199998,101115,634596,448534,186062,117681,11834594,5463309,5532906,10996215,102668,357996,32687,1524,17,3299,4,5408,33432,181,214,13772,23877,0,7422,68794,8,1014,85066,15013,77229,8754,208,39586,94.63778817,5.362211834,3.790024398,1.572187436,3.024996041,0.276198744,0.718791029,0.652569915,0.126856908,0.073969584,0.012877501,0.000143647,0.027875903,0.04569654,0.001529415,0.001808258,0.116370701,0.282493848,13.81935251,Academic year
202425,Local authority,E92000001,England,E12000005,West Midlands,E10000028,Staffordshire,860,Primary,300.9259259,53337.53968,18623847,18842545,218698,929330,708575,220755,180731,19771875,9186978,9284091,18471069,152778,570633,46446,9389,35,4332,52,6292,51022,288,1209,18876,50428,1,8743,156736,9,2781,104286,27953,80666,7850,307,63990,95.29973763,4.700262368,3.583752173,1.116510194,2.8860844,0.234909436,0.527446183,0.407983563,0.141377588,0.039702861,0.047486645,0.000177019,0.02190991,0.031822981,0.001456615,0.006114746,0.095468943,0.258053422,10.53282878,Academic year
202425,Local authority,E92000001,England,E12000005,West Midlands,E08000030,Walsall,335,Primary,84.27513228,23190.22751,7919063,7982729,63666,502201,305518,196683,133848,8484930,3850082,3949579,7799661,119402,228499,17749,13509,6,1307,0,2822,25814,72,678,15062,14169,0,3042,45825,0,630,54444,14446,124999,2794,85,26793,94.08125936,5.918740638,3.600713265,2.318027373,2.692998057,0.209182633,0.641655264,1.473188347,0.170254793,0.032928969,0.159211685,7.07136063585675e-05,0.015403781,0.033258966,0.000848563,0.007990638,0.177514723,0.304233506,16.53116531,Academic year
202425,Local authority,E92000001,England,E12000009,South West,E06000027,Torbay,880,Primary,30.52331606,7871.42487,2778721,2815568,36847,160591,119322,41269,40596,2976159,1360919,1384165,2745084,33637,94311,7752,492,4,81,28,1806,9532,42,79,5195,7193,0,2907,25396,0,1351,10476,6959,22963,871,31,9827,94.60408533,5.395914667,4.009261602,1.386653065,3.168883114,0.260469955,0.351997323,0.77156496,0.233824873,0.02926591,0.016531375,0.000134401,0.002721629,0.060682242,0.001411215,0.002654428,0.174553846,0.320278587,14.4823459,Academic year
202425,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,382,Primary,135.786802,28810.43655,10375603,10495267,119664,603027,431976,171051,127511,11098294,5089723,5176537,10266260,109343,306225,29709,42836,16,144,12,4284,35409,300,338,12703,26583,0,12144,79877,0,1060,75820,18168,74809,2254,144,35402,94.56648923,5.433510772,3.892273894,1.541236878,2.759207857,0.267689791,0.683168062,0.674058554,0.163700835,0.020309428,0.385969231,0.000144166,0.001297497,0.038600527,0.002703118,0.003045513,0.114459033,0.319049036,13.8636506,Academic year
